timestamp,camera,tag_id,arm,x,y,z
2025-09-12T16:50:34.589Z,healthy,5,healthy,0.155114,-0.0813919,0.604437
2025-09-12T16:50:34.619Z,healthy,5,healthy,0.158757,-0.0803831,0.60089
2025-09-12T16:50:34.819Z,healthy,5,healthy,0.18411,-0.0532123,0.600881
2025-09-12T16:50:34.870Z,healthy,5,healthy,0.189152,-0.0513081,0.600632
2025-09-12T16:50:34.889Z,healthy,5,healthy,0.195866,-0.0500823,0.604357
2025-09-12T16:50:34.919Z,healthy,3,healthy,0.0822717,-0.0325311,0.701177
2025-09-12T16:50:34.920Z,healthy,4,healthy,0.152189,-0.0299488,0.649
2025-09-12T16:50:34.921Z,healthy,5,healthy,0.199877,-0.0495884,0.60304
2025-09-12T16:50:34.969Z,healthy,3,healthy,0.0836485,-0.0309256,0.692322
2025-09-12T16:50:34.971Z,healthy,4,healthy,0.153942,-0.0287984,0.641589
2025-09-12T16:50:34.973Z,healthy,5,healthy,0.201415,-0.0501157,0.599145
2025-09-12T16:50:34.989Z,healthy,3,healthy,0.083685,-0.0289983,0.684128
2025-09-12T16:50:34.990Z,healthy,4,healthy,0.152733,-0.0281979,0.62987
2025-09-12T16:50:34.991Z,healthy,5,healthy,0.200912,-0.050971,0.594113
2025-09-12T16:50:35.020Z,healthy,3,healthy,0.0822564,-0.0276781,0.681678
2025-09-12T16:50:35.021Z,healthy,4,healthy,0.151742,-0.0290224,0.629878
2025-09-12T16:50:35.023Z,healthy,5,healthy,0.198926,-0.0531067,0.591812
2025-09-12T16:50:35.070Z,healthy,4,healthy,0.148805,-0.0301755,0.632214
2025-09-12T16:50:35.072Z,healthy,5,healthy,0.194659,-0.0556202,0.590084
2025-09-12T16:50:35.091Z,healthy,5,healthy,0.186264,-0.0563395,0.581025
2025-09-12T16:50:35.291Z,healthy,4,healthy,0.0993113,-0.018899,0.594077
2025-09-12T16:50:35.292Z,healthy,5,healthy,0.136914,-0.0432973,0.543878
2025-09-12T16:50:35.322Z,healthy,4,healthy,0.0960107,-0.0147023,0.589206
2025-09-12T16:50:35.323Z,healthy,5,healthy,0.137745,-0.0398165,0.55822
2025-09-12T16:50:35.373Z,healthy,4,healthy,0.093473,-0.0117186,0.587138
2025-09-12T16:50:35.374Z,healthy,5,healthy,0.132203,-0.0355768,0.545553
2025-09-12T16:50:35.394Z,healthy,4,healthy,0.0918115,-0.00996487,0.586084
2025-09-12T16:50:35.395Z,healthy,5,healthy,0.129993,-0.0331873,0.543092
2025-09-12T16:50:35.422Z,healthy,3,healthy,0.0336024,-0.0069458,0.658015
2025-09-12T16:50:35.423Z,healthy,4,healthy,0.0916219,-0.00922511,0.587602
2025-09-12T16:50:35.424Z,healthy,5,healthy,0.129506,-0.0323686,0.543336
2025-09-12T16:50:35.458Z,healthy,3,healthy,0.0333338,-0.00684282,0.658907
2025-09-12T16:50:35.459Z,healthy,4,healthy,0.0920607,-0.00931467,0.589572
2025-09-12T16:50:35.460Z,healthy,5,healthy,0.130349,-0.0325326,0.543556
2025-09-12T16:50:35.504Z,healthy,3,healthy,0.0336167,-0.00664707,0.659698
2025-09-12T16:50:35.506Z,healthy,4,healthy,0.0930282,-0.00939866,0.591486
2025-09-12T16:50:35.507Z,healthy,5,healthy,0.132499,-0.0328182,0.547525
2025-09-12T16:50:35.525Z,healthy,3,healthy,0.0342666,-0.00668446,0.660833
2025-09-12T16:50:35.526Z,healthy,4,healthy,0.0946891,-0.00938452,0.593258
2025-09-12T16:50:35.528Z,healthy,5,healthy,0.134863,-0.0328828,0.550701
2025-09-12T16:50:35.557Z,healthy,3,healthy,0.0351448,-0.0069091,0.66078
2025-09-12T16:50:35.559Z,healthy,4,healthy,0.0963246,-0.00936132,0.594541
2025-09-12T16:50:35.560Z,healthy,5,healthy,0.136773,-0.0328318,0.551767
2025-09-12T16:50:35.605Z,healthy,3,healthy,0.035942,-0.00687216,0.660973
2025-09-12T16:50:35.607Z,healthy,4,healthy,0.0974723,-0.00921242,0.594215
