timestamp,camera,tag_id,arm,x,y,z
2025-09-12T16:50:35.415Z,impacted,8,impacted,-0.137335,0.0401168,0.740623
2025-09-12T16:50:35.449Z,impacted,0,impacted,-0.232043,0.0579658,0.774952
2025-09-12T16:50:35.450Z,impacted,2,impacted,-0.0726648,0.0458137,0.7439
2025-09-12T16:50:35.451Z,impacted,8,impacted,-0.1376,0.0401802,0.737015
2025-09-12T16:50:35.489Z,impacted,0,impacted,-0.233449,0.0580739,0.77389
2025-09-12T16:50:35.492Z,impacted,2,impacted,-0.0725472,0.0459732,0.741267
2025-09-12T16:50:35.494Z,impacted,8,impacted,-0.137598,0.0402424,0.733036
2025-09-12T16:50:35.517Z,impacted,0,impacted,-0.23331,0.0572918,0.769208
2025-09-12T16:50:35.518Z,impacted,2,impacted,-0.0723761,0.045916,0.741472
2025-09-12T16:50:35.519Z,impacted,8,impacted,-0.137219,0.0397923,0.730438
2025-09-12T16:50:35.549Z,impacted,0,impacted,-0.232382,0.0558888,0.763134
2025-09-12T16:50:35.550Z,impacted,2,impacted,-0.0720187,0.0455973,0.741855
2025-09-12T16:50:35.551Z,impacted,8,impacted,-0.136766,0.0392315,0.728558
2025-09-12T16:50:35.589Z,impacted,0,impacted,-0.233215,0.0549179,0.764282
2025-09-12T16:50:35.592Z,impacted,2,impacted,-0.0711921,0.0452089,0.738894
2025-09-12T16:50:35.595Z,impacted,8,impacted,-0.136777,0.0388421,0.729882
2025-09-12T16:50:35.617Z,impacted,0,impacted,-0.232977,0.0539846,0.762197
2025-09-12T16:50:35.618Z,impacted,2,impacted,-0.0705936,0.045173,0.737745
2025-09-12T16:50:35.619Z,impacted,8,impacted,-0.137286,0.0387217,0.734474
2025-09-12T16:50:35.649Z,impacted,0,impacted,-0.232979,0.0534724,0.761027
2025-09-12T16:50:35.650Z,impacted,2,impacted,-0.069807,0.0454313,0.735927
2025-09-12T16:50:35.651Z,impacted,8,impacted,-0.136087,0.0384634,0.72931
2025-09-12T16:50:35.689Z,impacted,0,impacted,-0.232526,0.0530045,0.758933
2025-09-12T16:50:35.691Z,impacted,2,impacted,-0.069185,0.0454759,0.734556
2025-09-12T16:50:35.694Z,impacted,8,impacted,-0.134782,0.0379042,0.724487
2025-09-12T16:50:35.716Z,impacted,0,impacted,-0.231756,0.0529881,0.756156
2025-09-12T16:50:35.718Z,impacted,2,impacted,-0.0684571,0.0457692,0.735097
2025-09-12T16:50:35.719Z,impacted,8,impacted,-0.133924,0.0380154,0.721861
2025-09-12T16:50:35.754Z,impacted,0,impacted,-0.230951,0.0531393,0.753008
2025-09-12T16:50:35.756Z,impacted,2,impacted,-0.0679988,0.0461566,0.736824
2025-09-12T16:50:35.757Z,impacted,8,impacted,-0.133879,0.0386008,0.724463
2025-09-12T16:50:35.785Z,impacted,0,impacted,-0.230584,0.0532995,0.751126
2025-09-12T16:50:35.787Z,impacted,2,impacted,-0.0672834,0.0463472,0.734694
2025-09-12T16:50:35.789Z,impacted,8,impacted,-0.134485,0.0391229,0.728975
2025-09-12T16:50:35.818Z,impacted,0,impacted,-0.230183,0.0535082,0.749288
2025-09-12T16:50:35.820Z,impacted,2,impacted,-0.0667627,0.0465578,0.733786
2025-09-12T16:50:35.821Z,impacted,8,impacted,-0.133762,0.0392499,0.726161
2025-09-12T16:50:35.849Z,impacted,0,impacted,-0.22771,0.053322,0.74065
2025-09-12T16:50:35.850Z,impacted,2,impacted,-0.0663544,0.0468314,0.734838
2025-09-12T16:50:35.851Z,impacted,8,impacted,-0.132724,0.0392804,0.722145
2025-09-12T16:50:35.888Z,impacted,0,impacted,-0.227683,0.0534203,0.740189
2025-09-12T16:50:35.890Z,impacted,2,impacted,-0.0659562,0.0468212,0.733841
2025-09-12T16:50:35.893Z,impacted,8,impacted,-0.131767,0.039254,0.718516
2025-09-12T16:50:35.913Z,impacted,0,impacted,-0.22757,0.0533657,0.73936
2025-09-12T16:50:35.915Z,impacted,2,impacted,-0.0657903,0.0467868,0.733706
2025-09-12T16:50:35.916Z,impacted,8,impacted,-0.131571,0.039141,0.717581
2025-09-12T16:50:35.956Z,impacted,0,impacted,-0.227924,0.0535688,0.740315
2025-09-12T16:50:35.959Z,impacted,2,impacted,-0.0653951,0.0467246,0.731506
2025-09-12T16:50:35.961Z,impacted,8,impacted,-0.131211,0.0391989,0.71615
2025-09-12T16:50:35.982Z,impacted,0,impacted,-0.227814,0.0535151,0.739999
2025-09-12T16:50:35.984Z,impacted,2,impacted,-0.0652246,0.0470316,0.73362
2025-09-12T16:50:35.985Z,impacted,8,impacted,-0.13114,0.039217,0.717073
2025-09-12T16:50:36.013Z,impacted,0,impacted,-0.227422,0.0530798,0.738585
2025-09-12T16:50:36.014Z,impacted,2,impacted,-0.0647574,0.0469926,0.732378
2025-09-12T16:50:36.015Z,impacted,8,impacted,-0.130838,0.0391717,0.717201
2025-09-12T16:50:36.045Z,impacted,0,impacted,-0.228024,0.0529872,0.740387
2025-09-12T16:50:36.047Z,impacted,2,impacted,-0.0640051,0.0469076,0.731223
2025-09-12T16:50:36.048Z,impacted,8,impacted,-0.129905,0.0388144,0.71428
2025-09-12T16:50:36.081Z,impacted,0,impacted,-0.227669,0.0527596,0.738852
2025-09-12T16:50:36.082Z,impacted,2,impacted,-0.0635639,0.0469596,0.732388
2025-09-12T16:50:36.083Z,impacted,8,impacted,-0.128908,0.0385789,0.710934
2025-09-12T16:50:36.113Z,impacted,0,impacted,-0.227548,0.0524352,0.737953
2025-09-12T16:50:36.114Z,impacted,2,impacted,-0.0630469,0.0468412,0.731092
2025-09-12T16:50:36.115Z,impacted,8,impacted,-0.128516,0.0383688,0.709992
2025-09-12T16:50:36.145Z,impacted,0,impacted,-0.227779,0.0520647,0.73777
2025-09-12T16:50:36.147Z,impacted,2,impacted,-0.0624749,0.0465863,0.729203
2025-09-12T16:50:36.148Z,impacted,8,impacted,-0.128253,0.0380368,0.7095
2025-09-12T16:50:36.188Z,impacted,0,impacted,-0.227125,0.0516451,0.734786
2025-09-12T16:50:36.191Z,impacted,2,impacted,-0.0623213,0.0464303,0.729122
2025-09-12T16:50:36.194Z,impacted,8,impacted,-0.128108,0.0378365,0.70938
2025-09-12T16:50:36.219Z,impacted,0,impacted,-0.226833,0.0514691,0.733381
2025-09-12T16:50:36.220Z,impacted,2,impacted,-0.0622285,0.0464073,0.729037
2025-09-12T16:50:36.221Z,impacted,8,impacted,-0.127982,0.0377697,0.708226
2025-09-12T16:50:36.249Z,impacted,0,impacted,-0.226329,0.0512004,0.731499
2025-09-12T16:50:36.251Z,impacted,2,impacted,-0.0621546,0.0463814,0.728719
2025-09-12T16:50:36.252Z,impacted,8,impacted,-0.127983,0.0377081,0.70851
2025-09-12T16:50:36.281Z,impacted,0,impacted,-0.226216,0.051173,0.731152
2025-09-12T16:50:36.282Z,impacted,2,impacted,-0.061905,0.0463359,0.727815
2025-09-12T16:50:36.283Z,impacted,8,impacted,-0.127885,0.0377317,0.709101
2025-09-12T16:50:36.313Z,impacted,0,impacted,-0.225833,0.0510808,0.72963
2025-09-12T16:50:36.314Z,impacted,2,impacted,-0.0615174,0.0462441,0.727119
2025-09-12T16:50:36.315Z,impacted,8,impacted,-0.127775,0.0377713,0.709704
2025-09-12T16:50:36.345Z,impacted,0,impacted,-0.225237,0.0508197,0.726503
2025-09-12T16:50:36.346Z,impacted,2,impacted,-0.0612694,0.0461589,0.726558
2025-09-12T16:50:36.347Z,impacted,8,impacted,-0.12753,0.0377064,0.709325
2025-09-12T16:50:36.381Z,impacted,0,impacted,-0.225787,0.0511776,0.726763
2025-09-12T16:50:36.382Z,impacted,2,impacted,-0.0611793,0.0464247,0.726863
2025-09-12T16:50:36.383Z,impacted,8,impacted,-0.127325,0.0379086,0.708011
2025-09-12T16:50:36.413Z,impacted,0,impacted,-0.225427,0.0514397,0.72365
2025-09-12T16:50:36.414Z,impacted,2,impacted,-0.0608544,0.0465463,0.724
2025-09-12T16:50:36.415Z,impacted,8,impacted,-0.127224,0.0381963,0.707113
2025-09-12T16:50:36.453Z,impacted,0,impacted,-0.224504,0.0517785,0.717893
2025-09-12T16:50:36.456Z,impacted,2,impacted,-0.0603157,0.046594,0.717353
2025-09-12T16:50:36.459Z,impacted,8,impacted,-0.127024,0.0386151,0.70478
2025-09-12T16:50:36.482Z,impacted,0,impacted,-0.224132,0.0523803,0.713633
2025-09-12T16:50:36.483Z,impacted,2,impacted,-0.0607673,0.0475098,0.722304
2025-09-12T16:50:36.484Z,impacted,8,impacted,-0.126794,0.0392441,0.701573
2025-09-12T16:50:36.513Z,impacted,0,impacted,-0.225156,0.0533896,0.7138
2025-09-12T16:50:36.514Z,impacted,2,impacted,-0.0607354,0.0480471,0.719988
2025-09-12T16:50:36.514Z,impacted,8,impacted,-0.126712,0.0399012,0.699091
2025-09-12T16:50:36.554Z,impacted,0,impacted,-0.225029,0.054316,0.710565
2025-09-12T16:50:36.557Z,impacted,2,impacted,-0.0611913,0.0489347,0.722254
2025-09-12T16:50:36.559Z,impacted,8,impacted,-0.127129,0.0406864,0.69879
2025-09-12T16:50:36.582Z,impacted,2,impacted,-0.061471,0.0496185,0.721125
2025-09-12T16:50:36.583Z,impacted,8,impacted,-0.128055,0.0419323,0.700736
2025-09-12T16:50:36.613Z,impacted,2,impacted,-0.0614682,0.0498685,0.717531
2025-09-12T16:50:36.613Z,impacted,8,impacted,-0.128315,0.0425437,0.700282
2025-09-12T16:50:36.653Z,impacted,0,impacted,-0.226183,0.0563556,0.709057
2025-09-12T16:50:36.656Z,impacted,2,impacted,-0.0612771,0.0497846,0.711696
2025-09-12T16:50:36.657Z,impacted,8,impacted,-0.128366,0.0426757,0.698415
2025-09-12T16:50:36.681Z,impacted,0,impacted,-0.22693,0.0564335,0.710117
2025-09-12T16:50:36.683Z,impacted,2,impacted,-0.061365,0.0495778,0.707374
2025-09-12T16:50:36.684Z,impacted,8,impacted,-0.129751,0.0430278,0.703178
2025-09-12T16:50:36.713Z,impacted,0,impacted,-0.226695,0.056046,0.708393
2025-09-12T16:50:36.714Z,impacted,2,impacted,-0.0620115,0.0498387,0.710244
2025-09-12T16:50:36.714Z,impacted,8,impacted,-0.129048,0.0426335,0.697677
2025-09-12T16:50:36.746Z,impacted,0,impacted,-0.227115,0.0558742,0.708941
